latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.52,13.419998,38.0,0,GMT,GMT

time,temperature_2m (°C)
2025-04-29T00:00,11.8
2025-04-29T01:00,11.4
2025-04-29T02:00,11.0
2025-04-29T03:00,9.4
2025-04-29T04:00,10.1
2025-04-29T05:00,9.9
2025-04-29T06:00,10.4
2025-04-29T07:00,12.2
2025-04-29T08:00,14.0
2025-04-29T09:00,16.7
2025-04-29T10:00,18.3
2025-04-29T11:00,19.5
2025-04-29T12:00,20.4
2025-04-29T13:00,20.9
2025-04-29T14:00,21.6
2025-04-29T15:00,21.7
2025-04-29T16:00,22.0
2025-04-29T17:00,21.3
2025-04-29T18:00,20.6
2025-04-29T19:00,19.0
2025-04-29T20:00,17.4
2025-04-29T21:00,15.8
2025-04-29T22:00,14.8
2025-04-29T23:00,14.1
2025-04-30T00:00,13.6
2025-04-30T01:00,13.1
2025-04-30T02:00,12.6
2025-04-30T03:00,12.0
2025-04-30T04:00,11.5
2025-04-30T05:00,11.6
2025-04-30T06:00,12.7
2025-04-30T07:00,14.3
2025-04-30T08:00,16.2
2025-04-30T09:00,18.1
2025-04-30T10:00,19.5
2025-04-30T11:00,20.5
2025-04-30T12:00,21.4
2025-04-30T13:00,22.0
2025-04-30T14:00,22.3
2025-04-30T15:00,22.6
2025-04-30T16:00,22.5
2025-04-30T17:00,22.0
2025-04-30T18:00,21.3
2025-04-30T19:00,20.0
2025-04-30T20:00,18.7
2025-04-30T21:00,17.2
2025-04-30T22:00,15.9
2025-04-30T23:00,15.2
2025-05-01T00:00,14.7
2025-05-01T01:00,14.1
2025-05-01T02:00,13.6
2025-05-01T03:00,13.2
2025-05-01T04:00,12.8
2025-05-01T05:00,12.8
2025-05-01T06:00,14.2
2025-05-01T07:00,16.3
2025-05-01T08:00,18.5
2025-05-01T09:00,20.2
2025-05-01T10:00,21.6
2025-05-01T11:00,22.7
2025-05-01T12:00,23.7
2025-05-01T13:00,24.4
2025-05-01T14:00,24.9
2025-05-01T15:00,25.2
2025-05-01T16:00,24.9
2025-05-01T17:00,24.9
2025-05-01T18:00,24.0
2025-05-01T19:00,19.7
2025-05-01T20:00,17.6
2025-05-01T21:00,16.0
2025-05-01T22:00,15.0
2025-05-01T23:00,14.4
2025-05-02T00:00,13.8
2025-05-02T01:00,13.1
2025-05-02T02:00,12.8
2025-05-02T03:00,12.6
2025-05-02T04:00,13.1
2025-05-02T05:00,14.2
2025-05-02T06:00,16.2
2025-05-02T07:00,19.0
2025-05-02T08:00,22.1
2025-05-02T09:00,24.5
2025-05-02T10:00,26.4
2025-05-02T11:00,27.1
2025-05-02T12:00,27.4
2025-05-02T13:00,27.3
2025-05-02T14:00,26.9
2025-05-02T15:00,23.9
2025-05-02T16:00,23.9
2025-05-02T17:00,20.2
2025-05-02T18:00,19.9
2025-05-02T19:00,18.4
2025-05-02T20:00,16.8
2025-05-02T21:00,15.4
2025-05-02T22:00,14.1
2025-05-02T23:00,12.8
2025-05-03T00:00,11.7
2025-05-03T01:00,10.5
2025-05-03T02:00,9.3
2025-05-03T03:00,8.5
2025-05-03T04:00,8.2
2025-05-03T05:00,8.2
2025-05-03T06:00,8.6
2025-05-03T07:00,9.8
2025-05-03T08:00,11.5
2025-05-03T09:00,13.0
2025-05-03T10:00,14.2
2025-05-03T11:00,15.2
2025-05-03T12:00,15.9
2025-05-03T13:00,16.0
2025-05-03T14:00,15.7
2025-05-03T15:00,15.3
2025-05-03T16:00,14.9
2025-05-03T17:00,14.4
2025-05-03T18:00,13.8
2025-05-03T19:00,12.9
2025-05-03T20:00,11.8
2025-05-03T21:00,10.7
2025-05-03T22:00,9.8
2025-05-03T23:00,8.9
2025-05-04T00:00,8.1
2025-05-04T01:00,7.2
2025-05-04T02:00,6.4
2025-05-04T03:00,6.0
2025-05-04T04:00,6.2
2025-05-04T05:00,6.8
2025-05-04T06:00,7.8
2025-05-04T07:00,9.4
2025-05-04T08:00,11.4
2025-05-04T09:00,13.1
2025-05-04T10:00,14.4
2025-05-04T11:00,15.5
2025-05-04T12:00,16.2
2025-05-04T13:00,16.6
2025-05-04T14:00,16.5
2025-05-04T15:00,16.3
2025-05-04T16:00,15.9
2025-05-04T17:00,15.3
2025-05-04T18:00,14.3
2025-05-04T19:00,12.8
2025-05-04T20:00,10.9
2025-05-04T21:00,9.1
2025-05-04T22:00,7.5
2025-05-04T23:00,5.9
2025-05-05T00:00,4.6
2025-05-05T01:00,3.5
2025-05-05T02:00,2.6
2025-05-05T03:00,2.4
2025-05-05T04:00,3.0
2025-05-05T05:00,4.4
2025-05-05T06:00,6.0
2025-05-05T07:00,8.3
2025-05-05T08:00,10.9
2025-05-05T09:00,12.8
2025-05-05T10:00,13.3
2025-05-05T11:00,13.2
2025-05-05T12:00,13.0
2025-05-05T13:00,13.2
2025-05-05T14:00,13.5
2025-05-05T15:00,13.4
2025-05-05T16:00,13.0
2025-05-05T17:00,12.4
2025-05-05T18:00,11.5
2025-05-05T19:00,10.4
2025-05-05T20:00,9.0
2025-05-05T21:00,7.7
2025-05-05T22:00,6.8
2025-05-05T23:00,6.0
